01F3676S,01F3686S,37
01F3736N,01F3696N,151
03F4142S,01F3696N,1216
03F4168N,01F3696N,1230
01F3686S,01F3736S,199
01F0099S,01H0163S,292
03F0087S,01H0163S,279
03F0116N,01H0163S,320
01H0200N,01H0174N,108
01H0208N,01H0200N,30
01H0163S,01H0206S,166
01H0271N,01H0208N,247
01F0339N,01H0271N,390
01H0333N,01H0271N,337
03F0394N,01H0271N,1631
01H0206S,01H0305S,371
01H0447N,01H0333N,422
01H0305S,01H0334S,105
01H0579N,01H0447N,495
01F0339S,01H0447S,451
01H0334S,01H0447S,438
01F0633N,01H0579N,374
01H0608N,01H0579N,107
01H0447S,01H0579S,461
01F0750N,01H0608N,506
01F0578S,01H0610S,135
01H0579S,01H0610S,122
03A0041N,03A0015N,146
03F0201S,03A0041N,110
03F0217N,03A0041N,129
03A0015S,03A0041S,127
01F0061N,03F0021N,283
03F0054N,03F0021N,133
01F0099S,03F0054N,2622
01F0147N,03F0054N,369
01H0174N,03F0054N,446
03F0116N,03F0054N,239
01F0061N,03F0087S,1468
03F0006S,03F0087S,328
03F0140N,03F0116N,105
01F0099S,03F0116S,155
01F0147N,03F0116S,159
01H0174N,03F0116S,256
03F0087S,03F0116S,109
03F0116S,03F0136S,100
03F0150N,03F0140N,57
03F0201N,03F0150N,217
05F0001N,03F0150N,49
03F0136S,03F0158S,92
03A0041S,03F0201N,153
03F0217N,03F0201N,63
03F0158S,03F0201S,182
05F0001N,03F0201S,243
03F0301N,03F0217N,396
03A0041S,03F0217S,87
03F0201S,03F0217S,62
03F0338N,03F0301N,148
03F0217S,03F0301S,347
03F0301S,03F0337S,314
01F0293S,03F0338N,1379
01F0339N,03F0338N,1091
01H0305S,03F0338N,3177
03F0394N,03F0338N,383
03F0447N,03F0394N,210
03F0337S,03F0394S,267
03F0498N,03F0447N,191
03F0394S,03F0447S,204
03F0525N,03F0498N,103
01F0509S,03F0525N,1168
01F0532N,03F0525N,647
03F0559N,03F0525N,129
03F0447S,03F0525S,393
01F0633S,03F0559N,2255
01F0664N,03F0559N,1220
03F0648N,03F0559N,321
01F0509S,03F0559S,640
01F0532N,03F0559S,543
03F0525S,03F0559S,155
03F0698N,03F0648N,170
01F0633S,03F0648S,921
01F0664N,03F0648S,1550
03F0559S,03F0648S,343
03F0698S,03F0698N,1894
03F0783N,03F0698N,391
03F0648S,03F0698S,193
03F0846N,03F0783N,212
03F0698S,03F0783S,322
03F0783N,03F0783S,2908
03F0961N,03F0846N,422
03F0783S,03F0846S,218
03F0996N,03F0961N,121
03F0846S,03F0961S,392
01F0980S,03F0996N,133
01F1045N,03F0996N,259
03F1022N,03F0996N,93
03F0961S,03F0996S,132
03F1051N,03F1022N,111
01F0980S,03F1022S,117
01F1045N,03F1022S,457
03F0996S,03F1022S,96
03F1128N,03F1051N,279
03F1022S,03F1051S,106
03F1161N,03F1128N,122
03F1051S,03F1128S,269
03F1215N,03F1161N,187
03F1128S,03F1161S,112
03F1257N,03F1215N,154
03F1161S,03F1215S,184
03F1332N,03F1257N,253
03F1215S,03F1257S,165
03F1395N,03F1332N,255
03F1257S,03F1332S,258
03F1485N,03F1395N,315
03F1332S,03F1395S,292
03F1633N,03F1485N,503
03F1395S,03F1485S,298
03F1651N,03F1633N,61
03F1485S,03F1633S,525
01F1664N,03F1651N,543
03F1710N,03F1651N,200
03F1633S,03F1651S,79
03F1710S,03F1710N,2648
03F1739N,03F1710N,139
01F1621S,03F1710S,598
01F1664N,03F1710S,535
03F1651S,03F1710S,204
03F1779N,03F1739N,151
03F1710S,03F1739S,144
03F1739N,03F1739S,1295
03F1860N,03F1779N,285
03F1739S,03F1779S,136
03F1941N,03F1860N,270
03F1779S,03F1860S,284
01F1906S,03F1941N,214
01F1960N,03F1941N,313
03F1992N,03F1941N,172
03F1860S,03F1944S,293
01F1906S,03F1991S,198
01F1960N,03F1991S,289
03F1944S,03F1991S,158
03F2066N,03F1992N,264
03F2078N,03F2066N,45
03F1991S,03F2066S,255
03F2100N,03F2078N,82
03F2066S,03F2079S,47
03F2125N,03F2100N,87
03F2079S,03F2100S,81
03F2153N,03F2125N,98
03F2100S,03F2129S,108
03F2129S,03F2152S,82
03F2194N,03F2153N,145
01F2011S,03F2194N,1274
01F2089N,03F2194N,971
03F2231N,03F2194N,124
03F2152S,03F2194S,144
03F2260N,03F2231N,112
01F2011S,03F2235S,1096
01F2089N,03F2235S,1059
03F2194S,03F2235S,139
03F2306N,03F2260N,158
03F2235S,03F2261S,88
03F2306S,03F2306N,1795
03F2336N,03F2306N,118
03F2261S,03F2306S,151
03F2415N,03F2336N,274
03F2306S,03F2336S,171
03F2336N,03F2336S,2856
03F2447N,03F2415N,108
03F2336S,03F2415S,267
03F2535N,03F2447N,325
03F2415S,03F2447S,108
03F2614N,03F2535N,259
03F2447S,03F2535S,294
01F2425S,03F2614N,781
01F2483N,03F2614N,985
03F2709N,03F2614N,310
03F2535S,03F2614S,260
03F2747N,03F2709N,130
01F2425S,03F2709S,692
03F2614S,03F2709S,324
03F2777N,03F2747N,108
03F2709S,03F2747S,128
03F2840N,03F2777N,218
03F2747S,03F2777S,150
03F2777N,03F2777S,2113
03F2899N,03F2840N,204
03F2777S,03F2840S,232
03F2923N,03F2899N,78
