偵測站,上游交流道名稱,下游交流道名稱,上游交流道里程,下游交流道里程,所在里程數
03F0559N,鶯歌系統,大溪,54.32,62.72,55.9
03F0648N,大溪,龍潭,62.72,68.234,64.8
03F0698N,龍潭,關西服務區,68.234,76.175,69.8
03F0783N,關西服務區,關西,76.175,79.21,78.3
03F0846N,關西,竹林,79.21,90.326,84.6
03F0961N,竹林,寶山,90.326,98.832,96.1
03F0996N,寶山,新竹系統,98.832,100.698,99.6
03F1022N,新竹系統,茄苳,100.698,103.888,102.2
03F1051N,茄苳,香山,103.888,109.165,105.1
03F1128N,香山,西濱,109.883,115.449,112.8
03F1161N,西濱,竹南,115.449,119.115,116.1
03F1215N,竹南,大山,119.115,124.536,121.5
03F1257N,大山,後龍,124.536,130.192,125.7
03F1332N,後龍,西湖服務區,130.192,134.851
03F1395N,西湖服務區,通霄,134.851,144.289
03F1485N,通霄,苑裡,144.289,156.791,148.5
03F1633N,苑裡,大甲,156.791,164.258,163.3
03F1651N,大甲,中港系統,164.258,168.95,165.1
03F1710N,中港系統,清水服務區,168.95,172.446,171
03F1739N,清水服務區,沙鹿,172.446,176.12,173.9
03F1779N,沙鹿,龍井,176.12,182.825,177.9
03F1860N,龍井,和美,182.825,191.6,186
03F1941N,和美,彰化系統,191.6,196.72,194.1
03F1992N,彰化系統,快官,196.72,202.088,199.2
03F2066N,快官,烏日,202.088,207.306,206.6
03F2078N,烏日,中投,207.306,209.06,207.8
03F2100N,中投,霧峰,209.06,211.368,210
03F2125N,霧峰,霧峰系統,211.368,214.26,212.5
03F2153N,霧峰系統,草屯,214.26,217.214,215.3
03F2194N,草屯,中興系統,217.214,222.8,219.4
03F2231N,中興系統,中興,222.8,224.642,223.1
03F2260N,中興,南投,224.642,228.42,226
03F2306N,南投,南投服務區,228.42,231.454,230.6
03F2336N,南投服務區,名間,231.454,237.064,233.6
03F2415N,名間,竹山,237.064,243.7,241.5
03F2447N,竹山,南雲,243.7,250.1
03F2535N,南雲,斗六,250.1,260.274
03F2614N,斗六,古坑系統,260.274,269.096,261.4
03F2709N,古坑系統,古坑,269.096,271.5,270.9
03F2747N,古坑,古坑服務區,271.5,276.88,274.7
03F2777N,古坑服務區,梅山,276.88,279.356,277.7
03F2840N,梅山,竹崎(北),279.356,289.002,284
03F2899N,竹崎(北),竹崎(南),289.002,291.013,289.9
03F2923N,竹崎(南),中埔,291.013,297.529,292.3
03F2985N,中埔,水上系統,297.529,300.435,298.5
03F3101N,水上系統,白河,300.435,311.688,310.1
03F3187N,白河,東山服務區,311.688,319.802,318.7
03F3211N,東山服務區,柳營,319.802,322.6,321.1
03F3259N,柳營,烏山頭,322.6,329.72,325.9
03F3307N,烏山頭,官田系統,329.72,334.866,330.7
03F3392N,官田系統,善化,334.866,340.159,339.2
03F3445N,善化,新化系統,340.159,346.899,344.5
03F3496N,新化系統,關廟,346.899,356.984,349.6
03F3588N,關廟,關廟服務區,356.984,363.8
03F3670N,關廟服務區,田寮,363.8,369.517
03F3743N,田寮,燕巢系統,369.517,382.991,374.3
03F3854N,燕巢系統,九如,382.991,390.913,385.4
03F3916N,九如,長治,390.913,400.137,391.6
03F4021N,長治,麟洛,400.137,406.883,402.1
03F4142N,麟洛,竹田系統,407.874,415.206,414.2
03F4168N,竹田系統,崁頂,415.206,421.915,416.8
03F4232N,崁頂,南州,421.915,424.353,423.2
03F4259N,南州,林邊,424.617,430.53,425.9
05F0000S,南港系統,石碇,0,4.065,0
05F0055S,石碇,坪林,4.065,14.605,5.5
05F0287S,坪林,頭城,14.605,30.275,28.7
05F0309S,頭城,宜蘭(北),30.275,36.799,30.9
05F0439S,宜蘭(南),羅東(北),40.694,46.387
05F0494S,羅東(南),蘇澳,47.369,54.3
05F0001N,南港系統,石碇,0,4.065,0.1
05F0055N,石碇,坪林,4.065,14.605,5.5
05F0287N,坪林,頭城,14.605,30.275,28.7
05F0309N,頭城,宜蘭(北),30.275,36.799,30.9
05F0438N,宜蘭(南),羅東(北),40.694,46.387
05F0528N,羅東(南),蘇澳,47.369,54.3
01H0163S,汐止端,堤頂,11.38,18.85,16.3
01H0206S,堤頂,環北,18.85,25.64,20.6
01H0305S,環北,五股,25.64,33.039,30.5
01H0334S,五股,泰山轉接道,33.039,34.4
01H0447S,泰山轉接道,機場系統,34.4,52.237
01H0579S,機場系統,中壢轉接道,52.237,62.424,57.9
01H0610S,中壢轉接道,湖口,62.424,69.136
01H0174N,汐止端,堤頂,11.38,18.85,17.4
01H0200N,堤頂,下塔悠北出,18.85,20.5
01H0208N,下塔悠北出,環北,20.5,25.64
01H0271N,環北,五股,25.64,33.039,27.1
01H0333N,五股,泰山轉接道,33.039,34.4
01H0447N,泰山轉接道,機場系統,34.4,52.237
01H0579N,機場系統,中壢轉接道,52.237,62.424,57.9
01H0608N,中壢轉接道,湖口,62.424,69.136
03A0015S,台北端,萬芳,0,3.579,1.5
03A0041S,萬芳,木柵,3.579,5.065,4.1
03A0015N,台北端,萬芳,0,3.579,1.5
03A0041N,萬芳,木柵,3.579,5.065,4.1
